,Feature,Gini,Importance (split),Importance (weight)
269,ENSG00000188257,,5.0,0.00011647989
270,ENSG00000189091,,3.0,9.79004e-05
271,ENSG00000079931,,3.0,8.529598e-05
272,ENSG00000177791,,2.0,7.9105e-05
273,ENSG00000065978,,2.0,6.1879204e-05
274,ENSG00000115290,,3.0,6.278182e-06
275,ENSG00000197299,,5.0,0.0
276,ENSG00000196843,,2.0,0.0
277,ENSG00000197122,,2.0,0.0
278,ENSG00000196972,,2.0,0.0
279,ENSG00000198542,,2.0,0.0
